temp,prec,invierno,otoño,primavera,verano,mp25
9.86,0,1,0,0,0,76
8.66,0,1,0,0,0,166
5.78,0,1,0,0,0,59
2.24,0.2,1,0,0,0,22
4.4,6.6,1,0,0,0,13
7.2,0,1,0,0,0,104
2.6,6.4,1,0,0,0,59
5.7,0.6,1,0,0,0,73
1.2,0,1,0,0,0,105
0.9,0,1,0,0,0,152
4.9,0,1,0,0,0,63
10.4,21.6,1,0,0,0,40
10.7,22.2,1,0,0,0,8
10.7,7.8,1,0,0,0,9
8.4,2.4,1,0,0,0,19
9.1,5.6,1,0,0,0,16
9.6,0.8,1,0,0,0,10
5.3,0,1,0,0,0,135
2,0.2,1,0,0,0,174
2.2,0,1,0,0,0,52
5.5,0,1,0,0,0,24
6.43,0,1,0,0,0,21
5.23,0,1,0,0,0,137
8,0,1,0,0,0,78
8.2,7.4,1,0,0,0,67
10.5,0.8,1,0,0,0,66
6,0,1,0,0,0,57
4,0.2,1,0,0,0,83
4.3,0,1,0,0,0,67
3,0,1,0,0,0,82
6.9,0,1,0,0,0,75
7.2,0.4,1,0,0,0,87
4.8,3.2,1,0,0,0,50
5.4,2,1,0,0,0,78
5.4,0,1,0,0,0,73
6.5,0,1,0,0,0,141
7.2,3.4,1,0,0,0,66
9,1.6,1,0,0,0,34
4.1,0,1,0,0,0,56
7.7,0,1,0,0,0,41
10.2,0,1,0,0,0,19
7.6,0,1,0,0,0,52
9.1,0,1,0,0,0,46
9.5,14.8,1,0,0,0,9
8.6,2.6,1,0,0,0,12
7.7,10.4,1,0,0,0,39
5.8,0,1,0,0,0,108
7.5,5.6,1,0,0,0,27
10.2,0.2,1,0,0,0,14
7.5,0,1,0,0,0,42
8.3,0,1,0,0,0,42
6.4,5.2,1,0,0,0,30
7.6,0,1,0,0,0,23
5.9,0,1,0,0,0,47
6.7,0,1,0,0,0,36
8.6,3.8,1,0,0,0,39
6.8,0,1,0,0,0,62
8.1,0,1,0,0,0,33
7.1,0,1,0,0,0,64
7.1,0,1,0,0,0,54
9.1,6.6,1,0,0,0,47
10.8,2.4,1,0,0,0,8
8.4,25.6,1,0,0,0,6
9.4,5.4,0,0,1,0,10
8,10.6,0,0,1,0,23
5.2,0.6,0,0,1,0,119
7.2,2,0,0,1,0,13
6.2,0,0,0,1,0,41
5.3,0.2,0,0,1,0,60
8.5,1.6,0,0,1,0,12
11.9,0.6,0,0,1,0,9
12.1,38.2,0,0,1,0,7
9.3,0.2,0,0,1,0,11
6.2,0.2,0,0,1,0,35
6.6,0,0,0,1,0,32
8.5,0,0,0,1,0,13
8.6,0,0,0,1,0,29
9.4,0,0,0,1,0,14
10,0,0,0,1,0,49
11,0,0,0,1,0,7
11.9,0,0,0,1,0,10
13.6,0,0,0,1,0,1
9.4,16.6,0,0,1,0,2
9.8,0,0,0,1,0,15
8.4,0,0,0,1,0,21
7.5,0,0,0,1,0,17
10.7,0,0,0,1,0,12
10,0,0,0,1,0,28
9.5,1,0,0,1,0,24
14,0,0,0,1,0,5
11.2,0,0,0,1,0,19
11.7,1,0,0,1,0,15
12.1,2.8,0,0,1,0,7
14,0,0,0,1,0,6
13.8,0,0,0,1,0,5
14.3,0,0,0,1,0,8
12.9,0,0,0,1,0,3
9.9,0,0,0,1,0,13
11.4,0,0,0,1,0,7
11.8,0,0,0,1,0,4
13.3,0,0,0,1,0,4
14.4,0,0,0,1,0,3
13.2,0,0,0,1,0,6
14,1,0,0,1,0,5
13.3,5,0,0,1,0,6
10.3,0,0,0,1,0,4
10.5,17.8,0,0,1,0,7
10.6,1.6,0,0,1,0,8
12.7,3.6,0,0,1,0,4
11.9,0,0,0,1,0,8
12.7,0,0,0,1,0,9
11.4,7.2,0,0,1,0,8
14.4,1.6,0,0,1,0,7
11.6,7,0,0,1,0,8
9.5,0,0,0,1,0,12
12.3,0,0,0,1,0,8
12.9,0,0,0,1,0,6
16.1,10.6,0,0,1,0,3
12.7,0.4,0,0,1,0,9
9.6,0,0,0,1,0,14
11.7,0,0,0,1,0,5
13.4,0,0,0,1,0,5
13,0,0,0,1,0,8
12.9,0,0,0,1,0,6
14.1,0,0,0,1,0,6
12.2,0.4,0,0,1,0,6
14.5,2.6,0,0,1,0,6
14.7,4.6,0,0,1,0,3
12.9,20,0,0,1,0,11
11.3,1.6,0,0,1,0,11
10.5,1.2,0,0,1,0,15
10.4,1.2,0,0,1,0,17
13.1,0,0,0,1,0,4
12.1,1.2,0,0,1,0,4
12.9,0,0,0,1,0,5
11.4,0,0,0,1,0,4
12.4,0,0,0,1,0,4
10.8,3.8,0,0,1,0,11
13,3.2,0,0,1,0,3
12.4,0,0,0,1,0,8
12.9,0,0,0,1,0,7
13.1,0,0,0,1,0,4
12.1,0,0,0,1,0,7
12.8,0,0,0,1,0,5
13.6,0,0,0,1,0,5
13.8,0,0,0,1,0,5
15.6,0,0,0,1,0,6
15.4,0,0,0,1,0,4
15.7,0,0,0,1,0,6
